CNPJ,NOME FANTASIA,SITUAÃÃO CADASTRAL,CNAE 1,CNAE 2,UF,Municipio
14094670,,2,4781400,4782202,RS,8841
20486303,,8,4781400,4772500,RS,8841
14284584,,2,9602501,,RS,8841
14353359,APM,2,9430800,9493600,RS,8841
18280996,BRIEX CONSULTING,8,4751201,"9511800,8599603,6190699",RS,8841
18285727,,8,5620104,4729699,RS,8841
14429731,TRANSNILVO,2,4930202,"4313400,4319300,4930201,5611201,5611204,7319099,7732201,8230002,9001906",RS,8841
15125036,,8,4642701,1412601,RS,8841
20489029,LAVEXPRESS,8,4520005,"4930201,4930202,5223100,4781400,4530703,4520002",RS,8841
15394628,STAR TEEN,8,8230001,9602501,RS,8841
20489117,VENTORINI CONFEITARIA,4,1091102,,RS,8841
3414172,,8,5620103,"5611201,5611203,5620102",RS,8841
15559606,,8,4399103,,RS,8841
15836856,,4,4711302,,RS,8841
16180166,,8,9492800,,RS,8841
16190334,,8,9492800,,RS,8841
16288943,,8,9492800,,RS,8841
16306653,,8,4330404,4321500,RS,8841
16626304,REY COPIAS,8,8219901,"4761003,8299707,4723700",RS,8841
16682499,,4,4399103,"2599301,4330402,4322301,4399199,4330404,4330405",RS,8841
17042152,ASSOCIACAO COMUNITARIA DA VILA DO CARMO,4,9430800,,RS,8841
17165363,,2,4399103,"4330402,4330404,4330405",RS,8841
17239479,LUCASLOG-TRANSPORTADORA,2,4930202,"4930203,4930204,4930201",RS,8841
17259542,PAPELARIA NONOAI,2,4761003,"4763601,4721104,4789001,4781400,8219901,4713002,4759899,4751201",RS,8841
7688788,,8,4683400,4661300,RS,8841
17780771,R.E.SOUZA INSTALACOES,8,4321500,6190699,RS,8841
18318167,KATTOS LANCHES,8,5612100,,RS,8841
18328282,,8,1622699,"4330405,4330404,4322301,4321500,4399103",RS,8841
18338274,,8,9602501,,RS,8841
18345069,JOAO DE DEUS AUTOMOVEIS,8,4511102,4512902,RS,8841
18346222,SHALON CHAVEIROS,8,9529102,"4330404,4923001,4330499,4322301,4321500,4399103",RS,8841
18348688,,2,9602502,,RS,8841
18355829,LT CARTOES FIDELIDADE,8,1813099,1813001,RS,8841
18357313,TRISET STUDIO COMPUTACAO GRAFICA,8,5912099,,RS,8841
18360546,FRUTEIRA ALMEIDA,8,4724500,,RS,8841
18366282,,4,9313100,"8690901,9602502",RS,8841
18372996,FG REFORMAS E SERVICOS EM GERAIS,8,4399103,"4330405,4330404,4322301,4321500,1622699",RS,8841
18376481,,8,9602502,,RS,8841
18376824,,8,8599604,,RS,8841
18377018,,2,4711302,,RS,8841
18401952,CONFECCOES MIAME,8,4755503,"4753900,4759801,4781400,4530705,4744001",RS,8841
18415688,,8,4330402,,RS,8841
18422476,,2,8299799,,RS,8841
18438303,,8,1422300,"5620104,9602501,1412601,5611203",RS,8841
18439122,JAT TRANSPORTES,8,4924800,,RS,8841
18444523,POWER ADMINISTRACAO IMOBILIARIA LTDA.,2,6822600,6463800,RS,8841
18449056,,8,9602501,9602502,RS,8841
18450516,COMERCIAL MOURA,2,4789004,4781400,RS,8841
18468317,,8,1091102,"4712100,1094500",RS,8841
18474228,AUTO ELETRICA MARCELO,4,4789099,"4520007,4520003",RS,8841
12485022,FONTOURA E BECKER,8,4721104,5611204,RS,8841
18505368,VIVA COMERCIO E VESTUARIO,8,4781400,,RS,8841
18528561,,8,4781400,4789001,RS,8841
18539216,,2,4781400,4783101,RS,8841
18540503,TABACARIA BOREAL,2,4723700,"4729601,4721104,4729699",RS,8841
18547007,BOCA GELADA,8,4729699,,RS,8841
18547895,HONDAULT,2,4520001,4530703,RS,8841
18567179,L M SISTEMAS ELETRICOS,8,4321500,,RS,8841
18571736,ROUPACESS,8,4781400,"4783102,4783101,5612100,8230001,4530703,4713002,9602502,4785799,4782201,4772500,4763602",RS,8841
